City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Rosetta,31.4044,30.4164,53.6,82,40,4.61,EG,1611469880
Vaini,-21.2,-175.2,80.6,89,90,3.44,TO,1611469674
Jawor,51.0513,16.1935,33.01,92,100,3.2,PL,1611469882
Arvika,59.6553,12.5852,33.8,93,90,2.93,SE,1611469883
Bredasdorp,-34.5322,20.0403,68.0,52,98,6.91,ZA,1611469884
Katsuura,35.1333,140.3,46.0,78,100,1.99,JP,1611469885
Dingzhou,38.5131,114.9956,37.4,52,97,4.47,CN,1611469675
Ushuaia,-54.8,-68.3,55.4,50,40,14.97,AR,1611469674
Puerto Ayora,-0.7393,-90.3518,75.99,95,32,4.0,EC,1611469888
Nikolskoye,59.7035,30.7861,35.6,87,90,11.18,RU,1611469889
Carnarvon,-24.8667,113.6333,82.4,51,0,14.97,AU,1611469889
Kruisfontein,-34.0033,24.7314,64.99,87,87,1.99,ZA,1611469663
Husavik,66.0449,-17.3389,28.4,93,90,12.66,IS,1611469892
Kemptville,45.0168,-75.641,3.0,88,7,4.0,CA,1611469665
Abonnema,4.7084,6.7931,77.83,84,45,3.69,NG,1611469894
Hasaki,35.7333,140.8333,46.4,87,75,18.41,JP,1611469701
Tasiilaq,65.6145,-37.6368,14.0,52,0,4.61,GL,1611469895
Tuktoyaktuk,69.4541,-133.0374,-22.0,76,1,9.22,CA,1611469896
Machalí,-34.1833,-70.6667,61.95,68,1,1.07,CL,1611469897
Vyartsilya,62.1764,30.693,34.48,97,100,8.21,RU,1611469898
Polewali,-3.4324,119.3435,85.5,67,100,3.11,ID,1611469898
Seymchan,62.8833,152.4333,-29.02,83,100,1.36,RU,1611469642
Qurayyat,31.3318,37.3428,35.6,48,0,2.3,SA,1611469900
Hobyo,5.3505,48.5268,79.95,63,90,24.38,SO,1611469901
Margate,51.3813,1.3862,35.01,81,90,8.21,GB,1611469901
Oudtshoorn,-33.5907,22.2014,60.8,94,90,10.36,ZA,1611469902
Callaway,30.153,-85.5699,57.99,73,77,1.99,US,1611469904
Saint Paul Harbor,57.79,-152.4072,39.2,56,40,19.57,US,1611469905
Mbekenyera,-10.0,38.9833,77.7,86,100,5.01,TZ,1611469906
Barrow,71.2906,-156.7887,-0.4,78,1,13.8,US,1611469907
Kajaani,64.2273,27.7285,32.0,93,75,9.22,FI,1611469908
Busselton,-33.65,115.3333,77.0,50,53,10.0,AU,1611469714
Kieta,-6.2167,155.6333,83.48,59,35,6.08,PG,1611469909
Punta Arenas,-53.15,-70.9167,51.8,62,40,16.11,CL,1611469910
Ganzhou,28.8184,115.4327,59.32,53,2,5.55,CN,1611469911
Kumul,42.8,93.45,28.24,76,26,5.19,CN,1611469912
Sumenep,-7.0167,113.8667,83.79,73,99,7.16,ID,1611469676
Bud,39.447,-86.1758,28.0,68,99,11.36,US,1611469913
Ishigaki,24.3448,124.1572,66.2,63,40,11.5,JP,1611469905
Lodja,-3.4833,23.4333,75.11,86,100,2.98,CD,1611469915
Lompoc,34.6391,-120.4579,44.6,81,1,6.91,US,1611469916
Muisne,0.6,-80.0333,75.38,88,100,2.24,EC,1611469916
Tefé,-3.3542,-64.7114,71.67,98,100,1.79,BR,1611469917
Grindavik,63.8424,-22.4338,30.2,74,40,27.63,IS,1611469918
Brighton,50.8284,-0.1395,35.01,86,100,1.01,GB,1611469919
Saskylakh,71.9167,114.0833,-33.84,81,48,6.44,RU,1611469640
Dakar,14.6937,-17.4441,60.8,94,14,4.61,SN,1611469921
São José da Coroa Grande,-8.8978,-35.1478,76.3,84,93,8.5,BR,1611469922
Talas,38.6908,35.5538,21.2,86,75,2.3,TR,1611469922
Castro,-24.7911,-50.0119,62.22,94,99,3.27,BR,1611469923
Guangyuan,32.442,105.823,33.01,99,100,4.0,CN,1611469694
Cidreira,-30.1811,-50.2056,72.61,87,13,10.02,BR,1611469925
Sarakhs,36.5449,61.1577,37.4,60,0,6.91,IR,1611469648
Lorengau,-2.0226,147.2712,83.7,69,100,3.49,PG,1611469926
Port Alfred,-33.5906,26.891,64.99,95,88,4.0,ZA,1611469663
Yulara,-25.2406,130.9889,95.0,38,40,20.71,AU,1611469675
Mauá,-23.6678,-46.4614,69.8,83,20,2.3,BR,1611469929
Namtsy,62.7161,129.6658,-49.0,59,90,2.24,RU,1611469641
Srednekolymsk,67.45,153.6833,-27.13,85,100,8.57,RU,1611469930
San Cristobal,7.7669,-72.225,66.07,76,74,2.06,VE,1611469931
Mishkino,55.3389,63.9175,-12.6,89,100,11.9,RU,1611469932
Sabang,5.8933,95.3214,81.32,74,5,13.33,ID,1611469933
Saldanha,-33.0117,17.9442,68.0,42,0,18.41,ZA,1611469930
Torres,-29.3353,-49.7269,69.22,92,1,5.77,BR,1611469934
Jamestown,42.097,-79.2353,17.6,79,90,5.75,US,1611469935
Butaritari,3.0707,172.7902,80.06,78,44,8.72,KI,1611469936
Cayenne,4.9333,-52.3333,75.2,100,75,11.59,GF,1611469936
Cape Town,-33.9258,18.4232,70.0,59,20,21.85,ZA,1611469937
Acarí,-15.4311,-74.6158,71.01,69,51,2.68,PE,1611469938
Narsaq,60.9167,-46.05,28.4,31,0,25.32,GL,1611469939
Thompson,55.7435,-97.8558,-14.8,70,90,11.5,CA,1611469930
Coahuayana Viejo,18.7333,-103.6833,70.12,74,92,2.51,MX,1611469940
Foz do Iguaçu,-25.5478,-54.5881,73.4,100,0,4.61,BR,1611469941
Nome,64.5011,-165.4064,23.0,86,90,7.2,US,1611469663
Roebourne,-20.7833,117.1333,99.73,29,24,17.72,AU,1611469942
Surat Thani,9.1667,99.25,90.0,70,20,10.36,TH,1611469943
Balsas,-7.5325,-46.0356,70.48,81,59,2.73,BR,1611469944
Airai,-8.9266,125.4092,68.0,100,100,2.3,TL,1611469945
Esperance,-33.8667,121.9,75.2,53,40,16.11,AU,1611469834
Iki-Burul,45.8208,44.6472,28.4,100,90,2.24,RU,1611469946
Luganville,-15.5333,167.1667,81.39,81,100,1.88,VU,1611469947
Kaeo,-35.1,173.7833,73.0,70,10,7.0,NZ,1611469948
Esmeraldas,-19.7625,-44.3139,68.0,77,0,5.75,BR,1611469949
Banjarmasin,-3.3244,114.591,89.47,55,100,4.45,ID,1611469950
Owo,7.1962,5.5868,72.1,28,34,1.41,NG,1611469951
Bambous Virieux,-20.3428,57.7575,86.0,70,75,6.91,MU,1611469952
Abay,49.6311,72.8539,-4.0,77,75,6.71,KZ,1611469953
Ponta do Sol,32.6667,-17.1,57.99,75,99,0.74,PT,1611469954
Pitimbu,-7.4706,-34.8086,75.2,94,20,6.91,BR,1611469955
Altus,34.6381,-99.334,50.0,93,90,8.05,US,1611469956
Bubaque,11.2833,-15.8333,77.2,45,0,12.84,GW,1611469957
Clyde River,70.4692,-68.5914,-5.8,84,1,3.44,CA,1611469957
Whyalla,-33.0333,137.5833,107.6,9,100,10.36,AU,1611469958
Tautira,-17.7333,-149.15,78.8,73,40,2.3,PF,1611469959
Vao,-22.6667,167.4833,75.74,80,100,25.79,NC,1611469960
Marabu,4.4148,114.0089,86.0,79,40,6.91,MY,1611469960
Arrondissement de Limoges,45.75,1.3333,32.0,93,0,2.3,FR,1611469961
Inírida,3.8653,-67.9239,72.88,98,100,1.25,CO,1611469962
George Town,5.4112,100.3354,87.8,66,20,8.05,MY,1611469948
Provideniya,64.3833,-173.3,9.73,80,0,4.56,RU,1611469964
Saint-Philippe,-21.3585,55.7679,86.0,66,0,6.91,RE,1611469964
Farafangana,-22.8167,47.8333,86.49,66,0,1.83,MG,1611469965
Walvis Bay,-22.9575,14.5053,71.01,83,90,3.44,NA,1611469966
Betafo,-19.8333,46.85,75.36,68,2,3.13,MG,1611469967
Churapcha,62.0025,132.4325,-48.5,75,100,5.01,RU,1611469967
Kwinana,-32.25,115.7667,80.01,47,75,16.11,AU,1611469969
East London,-33.0153,27.9116,71.6,78,40,14.97,ZA,1611469970
Pampierstad,-27.7832,24.6877,86.2,33,89,7.14,ZA,1611469970
Casper,42.8666,-106.3131,14.0,85,90,6.91,US,1611469971
Qaanaaq,77.484,-69.3632,10.71,77,2,1.88,GL,1611469972
Lethem,3.3803,-59.7968,75.34,81,20,9.42,GY,1611469973
Ligayan,4.6533,119.4706,81.59,78,100,11.59,PH,1611469974
Luwingu,-10.2621,29.9271,69.01,89,100,3.74,ZM,1611469974
Namatanai,-3.6667,152.4333,84.09,65,4,6.71,PG,1611469975
Avarua,-21.2078,-159.775,82.4,74,40,13.8,CK,1611469976
Horsham,51.064,-0.3272,35.01,100,0,4.61,GB,1611469977
Khatanga,71.9667,102.5,-22.63,86,100,10.76,RU,1611469977
Chui,-33.6971,-53.4616,67.8,94,0,4.32,UY,1611469978
Acapulco de Juárez,16.8634,-99.8901,76.68,82,100,2.71,MX,1611469979
Zaraza,9.3503,-65.3245,72.12,91,97,3.58,VE,1611469980
Hobart,-42.8794,147.3294,82.99,57,75,17.27,AU,1611469848
Lebu,-37.6167,-73.65,55.42,89,22,12.24,CL,1611469981
Māngrol,21.1167,70.1167,78.89,36,0,2.39,IN,1611469982
Killybegs,54.6333,-8.45,32.0,96,93,1.01,IE,1611469983
Tigre,-34.426,-58.5796,78.8,78,0,8.05,AR,1611469984
Te Anau,-45.4167,167.7167,55.29,89,100,5.7,NZ,1611469942
Lima,-12.0432,-77.0282,75.99,88,98,4.61,PE,1611469985
Garissa,-0.4536,39.6401,81.91,61,33,7.25,KE,1611469928
Aykino,62.2248,49.9922,6.73,96,100,4.56,RU,1611469987
Saint George,37.1041,-113.5841,43.0,81,1,5.75,US,1611469987
Hilo,19.7297,-155.09,71.6,83,40,4.61,US,1611469988
Evanston,42.0411,-87.6901,30.99,59,90,6.91,US,1611469989
Bozoum,6.3193,16.3799,77.72,18,47,9.35,CF,1611469990
Kiryat Gat,31.61,34.7642,54.0,57,0,1.14,IL,1611469991
Ribeira Grande,38.5167,-28.7,62.19,88,24,21.03,PT,1611469991
Mossamedes,-15.1961,12.1522,76.48,68,94,1.54,AO,1611469992
Dhandhuka,22.3667,71.9833,82.08,17,0,7.47,IN,1611469993
Yangi Marg`ilon,40.4272,71.7189,30.2,51,0,5.03,UZ,1611469994
New Norfolk,-42.7826,147.0587,82.99,12,100,1.99,AU,1611469994
Yellowknife,62.456,-114.3525,-26.0,75,75,2.3,CA,1611469995
Praia da Vitória,38.7333,-27.0667,62.6,88,75,13.8,PT,1611469996
Wonosobo,-7.36,109.9025,82.4,78,40,12.66,ID,1611469997
Vilhena,-12.7406,-60.1458,68.83,98,100,2.24,BR,1611469998
Boende,-0.2167,20.8667,80.33,71,81,3.33,CD,1611469998
Ventspils,57.3894,21.5606,35.6,100,90,5.75,LV,1611469999
Itarema,-2.9248,-39.9167,76.96,86,100,10.16,BR,1611470000
Caravelas,-17.7125,-39.2481,72.54,89,65,2.01,BR,1611470001
San Gabriel,34.0961,-118.1058,46.0,95,98,3.29,US,1611470001
Shingū,33.7333,135.9833,50.0,93,75,12.66,JP,1611469833
Santa Maria,-29.6842,-53.8069,68.97,89,0,3.04,BR,1611469873
Souillac,-20.5167,57.5167,84.2,70,75,6.91,MU,1611470004
Labuhan,-6.8844,112.2051,81.99,79,100,9.33,ID,1611470005
Malanje,-9.5402,16.341,66.16,90,98,5.48,AO,1611470005
Bengkulu,-3.8004,102.2655,84.94,63,100,9.1,ID,1611469840
Lukovetskiy,64.2956,41.9211,19.4,86,90,4.47,RU,1611470007
Pochutla,15.7432,-96.4661,73.0,72,100,2.84,MX,1611470008
Nabire,-3.3667,135.4833,84.78,71,100,3.8,ID,1611469944
Geraldton,-28.7667,114.6,73.89,69,76,14.43,AU,1611469810
Harar,9.3094,42.1258,70.56,25,80,1.97,ET,1611470011
Bueno Brandão,-22.4408,-46.3508,61.81,94,100,6.93,BR,1611470012
Pozo Colorado,-23.4923,-58.7972,74.48,85,35,4.27,PY,1611470013
Korla,41.7597,86.1469,32.41,74,2,1.81,CN,1611470014
Luena,-11.7833,19.9167,66.2,94,40,6.91,AO,1611470014
Freeport,40.6576,-73.5832,25.0,46,1,12.66,US,1611470015
Alvand,36.3187,49.1678,25.45,88,0,4.97,IR,1611470016
Cabo San Lucas,22.8909,-109.9124,62.01,90,6,1.01,MX,1611470017
Tateyama,34.9833,139.8667,46.99,92,100,8.99,JP,1611469920
Malabo,3.75,8.7833,71.6,88,20,2.3,GQ,1611470018
Moroni,-11.7022,43.2551,78.8,83,75,2.3,KM,1611470019
Aquidauana,-20.4711,-55.7872,73.76,89,92,3.33,BR,1611470020
Gouyave,12.1646,-61.7296,77.0,78,20,5.75,GD,1611470021
Guerrero Negro,27.9769,-114.0611,58.48,69,97,9.26,MX,1611470022
Strezhevoy,60.7333,77.5889,-50.8,65,40,4.47,RU,1611470022
Sittwe,20.15,92.9,76.64,41,4,8.86,MM,1611469920
Walla Walla,46.0646,-118.343,30.99,64,1,8.05,US,1611470024
Nassau,40.7507,-73.5829,25.0,46,1,12.66,US,1611470026
Mar del Plata,-38.0023,-57.5575,73.0,94,0,6.91,AR,1611470027
Deniliquin,-35.5333,144.9667,102.0,13,100,6.64,AU,1611470028
Tignère,7.3667,12.65,70.66,25,20,1.5,CM,1611470029
Plouzané,48.3833,-4.6167,42.8,87,75,5.75,FR,1611470029
Kantang,7.4054,99.5156,91.99,51,20,9.22,TH,1611470030
San Patricio,28.017,-97.5169,69.8,100,90,6.91,US,1611470031
Tres Arroyos,-38.3739,-60.2798,75.0,41,7,12.3,AR,1611470032
Sapa,5.1544,120.3241,83.3,76,76,11.16,PH,1611470034
Katobu,-4.9408,122.5276,87.64,60,70,6.29,ID,1611470034
Manyana,-23.4,21.7167,84.15,18,97,8.41,BW,1611470035
Havelock,34.8791,-76.9013,34.0,64,1,6.91,US,1611470037
Burns Lake,54.2331,-125.7533,14.0,85,100,4.61,CA,1611470039
Oranjemund,-28.55,16.4333,65.37,72,12,24.05,NA,1611470040
Butte,39.6499,-121.5677,48.2,61,1,6.91,US,1611470041
Russell,32.3502,-85.1999,51.8,58,90,6.91,US,1611470042
San Juan del Paraná,-27.3,-55.9667,72.0,83,0,4.05,PY,1611470042
Ostrovnoy,68.0531,39.5131,5.56,92,96,12.75,RU,1611469907
Khani,41.9563,42.9566,46.4,29,0,19.57,GE,1611470045
Sechura,-5.5569,-80.8222,74.01,72,100,9.44,PE,1611470045
Tiksi,71.6872,128.8694,-40.52,80,69,4.65,RU,1611469907
Batagay,67.6333,134.6333,-45.54,75,88,1.68,RU,1611470047
Norman Wells,65.282,-126.8329,-14.8,84,90,4.61,CA,1611470048
Boca do Acre,-8.7522,-67.3978,72.7,98,100,0.4,BR,1611470049
Olinda,-8.0089,-34.8553,77.0,73,40,10.36,BR,1611470049
Bolu Province,40.6667,31.5833,37.35,79,100,6.62,TR,1611470051
Gazojak,41.1875,61.4036,35.15,79,21,9.8,TM,1611470052
Gurupi,-11.7292,-49.0686,71.85,88,52,4.32,BR,1611470053
Calabozo,8.9242,-67.4293,76.64,70,0,7.18,VE,1611470054
Ciudad de Armería,18.9333,-103.9667,69.84,75,98,3.33,MX,1611470054
Dikson,73.5069,80.5464,-12.59,91,100,9.71,RU,1611470056
São Filipe,14.8961,-24.4956,72.21,66,27,6.6,CV,1611470057
Flinders,-34.5833,150.8552,89.01,56,28,1.99,AU,1611470059
Chaihe,44.7667,129.7,21.27,95,0,4.12,CN,1611470062
Verāval,20.9,70.3667,79.02,37,0,2.89,IN,1611470062
Nyazepetrovsk,56.0531,59.6028,2.14,93,100,4.63,RU,1611470063
Shillong,25.5689,91.8831,68.0,42,40,2.3,IN,1611470064
Talaya,61.3833,152.75,-38.16,78,95,3.24,RU,1611470065
Henties Bay,-22.116,14.2845,71.01,89,100,3.98,NA,1611470066
Qandala,11.472,49.8728,74.98,55,0,11.01,SO,1611470066
Río Gallegos,-51.6226,-69.2181,55.4,38,40,8.05,AR,1611470067
Waddān,29.1614,16.139,54.03,41,0,4.92,LY,1611470069
Pisco,-13.7,-76.2167,71.6,78,82,4.61,PE,1611470070
Smoky Lake,54.1169,-112.4686,-13.0,76,100,3.44,CA,1611470070
Belmonte,-15.8631,-38.8828,71.6,88,20,3.44,BR,1611470071
Norrtälje,59.758,18.705,35.01,90,2,3.13,SE,1611470072
Kavieng,-2.5744,150.7967,85.08,66,11,7.38,PG,1611470073
Jinan,36.6683,116.9972,46.99,42,100,4.72,CN,1611470074
Omboué,-1.5746,9.2618,79.86,82,100,2.17,GA,1611470074
Christchurch,-43.5333,172.6333,78.8,29,100,16.11,NZ,1611470075
Rovaniemi,66.5,25.7167,10.4,92,90,8.05,FI,1611470076
Zyryanka,65.75,150.85,-29.27,84,100,4.72,RU,1611470077
‘Āhuimanu,21.4447,-157.8378,75.2,69,75,13.8,US,1611470077
Mendeleyevo,56.0333,37.2167,32.0,100,90,6.71,RU,1611470078
La Baule-Escoublac,47.2922,-2.364,43.0,81,75,12.66,FR,1611470079
Broome,42.2506,-75.833,18.0,73,75,18.41,US,1611470080
Kargil,34.5667,76.1,9.41,83,11,1.95,IN,1611470009
Havre-St-Pierre,50.2334,-63.5986,30.2,93,90,13.8,CA,1611470081
Beringovskiy,63.05,179.3167,-1.84,88,100,1.72,RU,1611470082
General Roca,-39.0333,-67.5833,73.4,46,0,6.91,AR,1611470083
Port Lincoln,-34.7333,135.8667,87.6,29,28,9.17,AU,1611470086
Zhigansk,66.7697,123.3711,-55.41,58,17,5.01,RU,1611470086
Kahului,20.8947,-156.47,75.2,64,1,10.36,US,1611470087
Iracoubo,5.4802,-53.2011,76.57,88,100,10.47,GF,1611470088
Kontagora,10.3999,5.4695,70.48,21,65,7.78,NG,1611470089
Touros,-5.1989,-35.4608,73.4,94,75,4.61,BR,1611470090
Ahipara,-35.1667,173.1667,67.73,83,62,8.93,NZ,1611470090
Buchanan,5.8808,-10.0467,73.4,100,40,6.02,LR,1611470038
Biak,-0.9131,122.8766,83.48,65,100,2.84,ID,1611470092
Conde,-7.2597,-34.9075,75.2,94,20,6.91,BR,1611470093
Arnprior,45.4334,-76.3494,3.99,79,0,8.01,CA,1611470093
Leningradskiy,69.3833,178.4167,-17.3,79,0,1.36,RU,1611470094
Jalu,29.0331,21.5482,52.83,41,0,10.49,LY,1611470095
Neiafu,-18.65,-173.9833,82.4,78,75,4.61,TO,1611470096
Jasper,37.2001,-94.3502,39.99,93,90,4.61,US,1611470097
Brae,60.3964,-1.353,39.2,75,100,10.36,GB,1611470097
Kaniama,-7.5667,24.1833,66.81,98,100,2.82,CD,1611470098
Bilibino,68.0546,166.4372,-34.73,79,63,1.43,RU,1611470099
Aklavik,68.2191,-135.0107,-18.4,76,75,8.05,CA,1611470100
Arraial do Cabo,-22.9661,-42.0278,74.17,86,99,12.91,BR,1611470101
Cherskiy,68.75,161.3,-24.97,86,100,10.85,RU,1611470103
Banda Aceh,5.5577,95.3222,84.02,69,43,14.74,ID,1611470105
Nuuk,64.1835,-51.7216,17.6,73,20,8.05,GL,1611470106
Ketchikan,55.3422,-131.6461,33.8,100,90,5.75,US,1611470107
Antalaha,-14.9003,50.2788,84.38,64,100,7.02,MG,1611470108
Port-Cartier,50.0334,-66.8654,35.01,69,100,19.57,CA,1611470110
Harper,4.375,-7.7169,76.71,89,21,4.63,LR,1611470111
Vardø,70.3705,31.1107,20.19,95,100,25.32,NO,1611469896
Abu Kamal,34.4506,40.9171,48.56,44,0,3.09,SY,1611470112
Uglegorsk,49.0833,142.0333,14.02,90,96,12.19,RU,1611470113
Chateaubelair,13.2833,-61.25,78.8,73,40,10.36,VC,1611470114
Fare,-16.7,-151.0167,81.09,72,0,11.77,PF,1611470114
Northam,51.0333,-4.2167,39.99,89,23,8.01,GB,1611470115
Port Hardy,50.6996,-127.4199,37.4,93,90,17.27,CA,1611469914
Yerbogachën,61.2767,108.0108,-34.83,81,100,1.36,RU,1611470117
Kloulklubed,7.0419,134.2556,84.2,74,75,11.5,PW,1611470118
Taoudenni,22.6783,-3.9836,58.73,30,0,8.68,ML,1611470118
Yantal',56.8471,105.2542,0.03,87,88,1.63,RU,1611470119
Coolum Beach,-26.5333,153.1,73.0,93,35,1.99,AU,1611470120
Nanortalik,60.1432,-45.2371,21.58,89,40,11.16,GL,1611469899
Camacha,33.0833,-16.3333,60.8,94,40,4.34,PT,1611470123
Constitución,-35.3333,-72.4167,57.43,85,0,2.75,CL,1611470124
Lékoni,-1.5843,14.2591,73.36,80,100,5.93,GA,1611470125
Kantemirovka,49.7089,39.8592,35.04,89,100,14.45,RU,1611470126
Navalmoral de la Mata,39.8916,-5.5406,45.86,89,29,9.86,ES,1611470127
Poronaysk,49.2167,143.1167,9.03,91,58,5.19,RU,1611470127
Hong Kong,22.2855,114.1577,66.0,79,17,5.99,HK,1611469841
Faanui,-16.4833,-151.75,81.0,73,75,12.46,PF,1611470129
Port Augusta,-32.5,137.7667,107.6,9,100,10.36,AU,1611470130
Berbera,10.4396,45.0143,77.05,62,4,2.13,SO,1611470131
Kirakira,-10.4544,161.9205,83.08,68,95,5.99,SB,1611470132
Iqaluit,63.7506,-68.5145,5.0,78,1,27.63,CA,1611470133
La Ronge,55.1001,-105.2842,-31.0,68,2,1.14,CA,1611470133
Khovd,48.0056,91.6419,16.59,51,8,15.01,MN,1611470134
Jamkhed,18.7362,75.3121,84.92,25,0,0.58,IN,1611469852
Belaya Gora,68.5333,146.4167,-33.47,83,100,3.38,RU,1611470136
Merrill,45.1805,-89.6835,15.8,86,90,3.44,US,1611470137
Krasnosel'kup,65.7,82.4667,-39.23,76,0,4.85,RU,1611469908
Mawlaik,23.6333,94.4167,85.66,31,35,1.36,MM,1611470138
Severo-Kuril'sk,50.6789,156.125,17.49,91,90,21.83,RU,1611470140
Cururupu,-1.8283,-44.8683,74.16,94,25,3.83,BR,1611470141
Chicama,-7.8447,-79.1469,68.0,94,91,4.61,PE,1611470141
Rio Grande,-32.035,-52.0986,71.01,93,41,8.28,BR,1611470142
Nueve de Julio,-35.4444,-60.8831,73.0,64,0,3.0,AR,1611470143
Karpathos,35.507,27.2132,60.8,67,40,20.71,GR,1611470144
Hamilton,39.1834,-84.5333,28.0,59,75,3.44,US,1611470145
Shamary,57.3434,58.2199,8.38,94,100,8.25,RU,1611470146
Sungai Penuh,-2.0833,101.3833,80.58,52,100,2.77,ID,1611470146
Aitape,-3.1374,142.3475,84.87,68,85,6.24,PG,1611470147
Starychi,49.98,23.5585,37.4,100,75,4.47,UA,1611470148
Amuntai,-2.4177,115.2494,87.6,54,100,4.88,ID,1611470150
Ivanovka,42.8878,75.085,30.2,59,75,4.47,KG,1611470151
Charlestown,-32.95,151.6667,95.0,33,0,16.11,AU,1611470151
Zhumadian,32.9794,114.0294,47.91,71,100,8.46,CN,1611470152
Vila Velha,-20.3297,-40.2925,72.0,94,20,4.61,BR,1611470153
Bloemfontein,-29.1211,26.214,73.4,68,0,4.61,ZA,1611470154
Tuatapere,-46.1333,167.6833,57.99,78,0,18.99,NZ,1611469942
Almeirim,-1.5233,-52.5817,72.93,93,20,3.33,BR,1611470155
Mukhen,48.1,136.1,15.12,93,99,7.38,RU,1611470157
Hengshui,37.7322,115.7011,45.43,48,100,4.76,CN,1611470158
Chimoré,-16.9833,-65.1333,69.89,93,85,1.34,BO,1611470159
Gwadar,25.1216,62.3254,64.24,24,0,6.42,PK,1611470159
Leshukonskoye,64.8989,45.7622,4.17,94,97,7.23,RU,1611470160
Ancud,-41.8697,-73.8203,51.01,61,0,9.22,CL,1611470161
Severnoye,56.3491,78.3619,-35.72,81,54,5.88,RU,1611470162
Praia,14.9215,-23.5087,68.0,83,0,13.8,CV,1611469902
Itakyry,-24.9333,-55.2167,73.4,100,0,4.61,PY,1611470164
Pimenteiras,-6.2453,-41.4192,72.12,76,100,5.35,BR,1611470165
Vestmanna,62.1564,-7.1664,35.6,87,20,10.36,FO,1611470166
Riohacha,11.5444,-72.9072,75.47,86,100,8.77,CO,1611470166
Anori,-3.7728,-61.6442,71.83,96,45,1.28,BR,1611470167
Homer,59.6425,-151.5483,35.6,93,90,6.91,US,1611470168
Marsh Harbour,26.5412,-77.0636,72.32,82,40,12.15,BS,1611470170
Ugoofaaru,5.6667,73.0,82.29,76,11,11.83,MV,1611470171
Manaus,-3.1019,-60.025,78.8,89,0,2.3,BR,1611470171
San Benito,36.6166,-121.0844,42.01,90,0,1.86,US,1611470172
Sanguéya,10.7,-14.3667,62.73,62,0,2.91,GN,1611470174
Shache,38.4167,77.2406,39.47,43,0,6.13,CN,1611469899
Mtsensk,53.2766,36.5733,35.26,98,100,7.72,RU,1611470176
Illintsi,49.1048,29.2177,37.4,100,90,8.95,UA,1611470177
Flin Flon,54.7682,-101.865,-26.66,85,0,6.33,CA,1611470177
Imeni Poliny Osipenko,52.4201,136.4853,-4.07,91,98,6.17,RU,1611470178
Fuzhou,26.0614,119.3061,55.4,71,75,15.66,CN,1611470174
Kungurtug,50.5994,97.5228,6.42,87,100,1.19,RU,1611470180
Udachny,66.4167,112.4,-37.73,79,39,3.15,RU,1611470181
